id Weight Body_Length Tail_Length Date Sex Year Age Who Cohort Wolfgruoben Mother Father f X_Position Y_Position animal Age3 Phi Im ARS LRS Origin Julian RelativeJulian ARSS rPhi rARSS rLRS rock_coverage herb_coverage rARS StDate StDateSq rLRS2
CN06-001 34 NA 54 2006-05-25 Female 2006 A PW 2005 FALSE 0 0 0 -1.63440327487163 -0.550681190630199 CN06-001 1 0 0 0 0 2006-01-01 144 0 0 0 0 0 -1.08545443027011 -0.0700618913027372 0 -2.35748336273015 -1.40015611265453 0.00488800526330754
CN06-001 34 NA NA 2006-06-14 Female 2006 A PW 2005 FALSE 0 0 0 -1.55190496324488 -0.550681190630199 CN06-001 1 0 0 0 0 2006-01-01 164 20 0 0 0 0 -1.08545443027011 1.32116301958908 0 -1.77379066801336 -1.3274097685312 0.00459023888120927
CN06-001 34 NA NA 2006-06-14 Female 2006 A PW 2005 FALSE 0 0 0 -1.46940665161812 -0.800199382847688 CN06-001 1 0 0 0 0 2006-01-01 164 20 0 0 0 0 -1.38084837320901 2.01677547503498 0 -1.77379066801336 -1.3274097685312 0.00368542276223517
CN06-002 37 NA 53 2006-05-25 Male 2006 A PW 2004 FALSE 0 0 0 -1.63440327487163 -0.301162998412711 CN06-002 2 0 0 4 5 2006-01-01 144 0 4 0 2.99099099099099 1 -0.494666544392298 -0.0700618913027372 3.81609195402299 -2.35748336273015 -1.40015611265453 1.00446842820688
CN06-002 40 NA 53 2006-06-14 Male 2006 A PW 2004 FALSE 0 0 0 -1.71690158649839 0.696909770457243 CN06-002 2 0 0 4 5 2006-01-01 164 20 4 0 2.99099099099099 1 -1.97163625908683 1.32116301958908 3.81609195402299 -1.77379066801336 -1.3274097685312 1.00476705384681
CN06-002 36 NA 56 2006-06-15 Male 2006 A PW 2004 FALSE 0 0 0 -1.79939989812514 0.197873386022266 CN06-002 2 0 0 4 5 2006-01-01 165 21 4 0 2.99099099099099 1 -0.790060487331203 0.62555056414317 3.81609195402299 -1.74460603327753 -1.31995326825856 1.01610271874018
CN06-002 NA NA NA 2006-07-06 Male 2006 A PW 2004 FALSE 0 0 0 -1.1394134051111 -0.0516448061952222 CN06-002 2 0 0 4 5 2006-01-01 186 42 4 0 2.99099099099099 1 0.0961213414855136 -0.556990610114872 3.81609195402299 -1.1317287038249 -1.07934473507063 1.00445975516467
CN06-002 43 NA NA 2006-08-17 Male 2006 A SR/PW/TB 2004 FALSE 0 0 0 -0.891918470230834 0.696909770457243 CN06-002 2 0 0 4 5 2006-01-01 228 84 4 0 2.99099099099099 1 0.391515284424419 0.277744336420216 3.81609195402299 0.0940259550803381 -0.11691060231892 1.0000090393653
CN06-003 30 NA 50 2006-05-25 Female 2006 A PW 2005 FALSE CN06-013 CN05-M3 0 -1.71690158649839 -0.0516448061952222 CN06-003 1 0 0 0 0 2006-01-01 144 0 0 0 0 0 -0.494666544392298 -0.0700618913027372 0 -2.35748336273015 -1.40015611265453 0.00253967336382621
CN06-004 35 NA 51 2006-05-25 Female 2006 A PW 2005 FALSE 0 0 0 -1.63440327487163 -1.04971757506518 CN06-004 1 0 0 2 2 2006-01-01 144 0 2 0 1.08108108108108 0.520833333333333 -0.494666544392298 -0.417868119025691 1.6260162601626 -2.35748336273015 -1.40015611265453 0.528884274807388
CN06-004 NA NA NA 2006-06-14 Female 2006 A PW 2005 FALSE 0 0 0 -1.71690158649839 -0.550681190630199 CN06-004 1 0 0 2 2 2006-01-01 164 20 2 0 1.08108108108108 0.520833333333333 -0.199272601453392 -0.0700618913027372 1.6260162601626 -1.77379066801336 -1.3274097685312 0.524353614606047
CN06-004 48 NA NA 2006-07-06 Female 2006 A PW 2005 FALSE 0 0 0 -1.63440327487163 -1.04971757506518 CN06-004 1 0 0 2 2 2006-01-01 186 42 2 0 1.08108108108108 0.520833333333333 -0.494666544392298 -0.417868119025691 1.6260162601626 -1.1317287038249 -1.07934473507063 0.521216168918388
CN06-004 53 NA NA 2006-08-08 Female 2006 A SR/PW 2005 FALSE 0 0 0 -1.79939989812514 -1.04971757506518 CN06-004 1 0 0 2 2 2006-01-01 219 75 2 0 1.08108108108108 0.520833333333333 -1.38084837320901 -0.0700618913027372 1.6260162601626 -0.168635757542214 -0.377160648420148 0.536256091569063
CN06-004 50 NA NA 2006-08-09 Female 2006 A SR/PW 2005 FALSE 0 0 0 -1.63440327487163 -0.800199382847688 CN06-004 1 0 0 2 2 2006-01-01 220 76 2 0 1.08108108108108 0.520833333333333 -0.494666544392298 -0.209184382391919 1.6260162601626 -0.139451122806375 -0.349698903513589 0.538360600049155
